模组,键,说明,默认值,可选值,枚举原文及含义,client原始字段,原始tags,权限,参考配置支持,Wildwise 对应配置,Wildwise 边界,评估,源码,源码定位
ActionQueue RB3,always_clear_queue,始终清除队列,true,true / false,"[{""description"": ""Yes"", ""data"": true}, {""description"": ""No"", ""data"": false}]",—,—,客户端,✅,❌,手動接管固定取消，失焦固定暂停；不能切成保留选择策略。,可保持既有接管规则,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[always_clear_queue](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:102)
ActionQueue RB3,selection_color,列队行为颜色,WHITE,WHITE / FIREBRICK / TAN / LIGHTGOLD / GREEN / TEAL / OTHERBLUE / DARKPLUM / ROSYBROWN / GOLDENROD,"[{""description"": ""白色"", ""data"": ""WHITE""}, {""description"": ""红色"", ""data"": ""FIREBRICK""}, {""description"": ""橙色"", ""data"": ""TAN""}, {""description"": ""黄色"", ""data"": ""LIGHTGOLD""}, {""description"": ""绿色"", ""data"": ""GREEN""}, {""description"": ""青色"", ""data"": ""TEAL""}, {""description"": ""蓝色"", ""data"": ""OTHERBLUE""}, {""description"": ""紫色"", ""data"": ""DARKPLUM""}, {""description"": ""粉色"", ""data"": ""ROSYBROWN""}, {""description"": ""金色"", ""data"": ""GOLDENROD""}]",—,—,客户端,✅,❌,选择框/预览使用固定样式。,颜色和透明度按可读性需要补,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[selection_color](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:103)
ActionQueue RB3,selection_opacity,列队行为透明度,0.5,0.05 / 0.1 / 0.15 / 0.2 / 0.25 / 0.3 / 0.35 / 0.4 / 0.45 / 0.5 / 0.55 / 0.6 / 0.65 / 0.7 / 0.75 / 0.8 / 0.85 / 0.9 / 0.95,"[{""description"": ""5%"", ""data"": 0.05}, {""description"": ""10%"", ""data"": 0.1}, {""description"": ""15%"", ""data"": 0.15}, {""description"": ""20%"", ""data"": 0.2}, {""description"": ""25%"", ""data"": 0.25}, {""description"": ""30%"", ""data"": 0.3}, {""description"": ""35%"", ""data"": 0.35}, {""description"": ""40%"", ""data"": 0.4}, {""description"": ""45%"", ""data"": 0.45}, {""description"": ""50%"", ""data"": 0.5}, {""description"": ""55%"", ""data"": 0.55}, {""description"": ""60%"", ""data"": 0.6}, {""description"": ""65%"", ""data"": 0.65}, {""description"": ""70%"", ""data"": 0.7}, {""description"": ""75%"", ""data"": 0.75}, {""description"": ""80%"", ""data"": 0.8}, {""description"": ""85%"", ""data"": 0.85}, {""description"": ""90%"", ""data"": 0.9}, {""description"": ""95%"", ""data"": 0.95}]",—,—,客户端,✅,❌,选择框/预览使用固定样式。,颜色和透明度按可读性需要补,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[selection_opacity](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:104)
ActionQueue RB3,double_click_speed,双击速度,0.3,0 / 0.05 / 0.1 / 0.15 / 0.2 / 0.25 / 0.3 / 0.35 / 0.4 / 0.45 / 0.5,"[{""description"": ""0"", ""data"": 0}, {""description"": ""0.05"", ""data"": 0.05}, {""description"": ""0.1"", ""data"": 0.1}, {""description"": ""0.15"", ""data"": 0.15}, {""description"": ""0.2"", ""data"": 0.2}, {""description"": ""0.25"", ""data"": 0.25}, {""description"": ""0.3"", ""data"": 0.3}, {""description"": ""0.35"", ""data"": 0.35}, {""description"": ""0.4"", ""data"": 0.4}, {""description"": ""0.45"", ""data"": 0.45}, {""description"": ""0.5"", ""data"": 0.5}]",—,—,客户端,✅,❌,固定 0.35 秒、15 距离，未公开配置。,应补交互参数,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[double_click_speed](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:105)
ActionQueue RB3,double_click_range,双击选择范围,25,10 / 15 / 20 / 25 / 30 / 35 / 40 / 45 / 50 / 55 / 60,"[{""description"": ""10"", ""data"": 10}, {""description"": ""15"", ""data"": 15}, {""description"": ""20"", ""data"": 20}, {""description"": ""25"", ""data"": 25}, {""description"": ""30"", ""data"": 30}, {""description"": ""35"", ""data"": 35}, {""description"": ""40"", ""data"": 40}, {""description"": ""45"", ""data"": 45}, {""description"": ""50"", ""data"": 50}, {""description"": ""55"", ""data"": 55}, {""description"": ""60"", ""data"": 60}]",—,—,客户端,✅,❌,固定 0.35 秒、15 距离，未公开配置。,应补交互参数,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[double_click_range](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:106)
ActionQueue RB3,turf_grid_key,显示地皮网格键,KEY_F3,KEY_A / KEY_B / KEY_C / KEY_D / KEY_E / KEY_F / KEY_G / KEY_H / KEY_I / KEY_J / KEY_K / KEY_L / KEY_M / KEY_N / KEY_O / KEY_P / KEY_Q / KEY_R / KEY_S / KEY_T / KEY_U / KEY_V / KEY_W / KEY_X / KEY_Y / KEY_Z / KEY_F1 / KEY_F2 / KEY_F3 / KEY_F4 / KEY_F5 / KEY_F6 / KEY_F7 / KEY_F8 / KEY_F9 / KEY_F10 / KEY_F11 / KEY_F12 / KEY_LALT / KEY_RALT / KEY_LCTRL / KEY_RCTRL / KEY_LSHIFT / KEY_RSHIFT / KEY_TAB / KEY_CAPSLOCK / KEY_SPACE / KEY_MINUS / KEY_EQUALS / KEY_BACKSPACE / KEY_INSERT / KEY_HOME / KEY_DELETE / KEY_END / KEY_PAGEUP / KEY_PAGEDOWN / KEY_PRINT / KEY_SCROLLOCK / KEY_PAUSE / KEY_PERIOD / KEY_SLASH / KEY_SEMICOLON / KEY_LEFTBRACKET / KEY_RIGHTBRACKET / KEY_BACKSLASH / KEY_UP / KEY_DOWN / KEY_LEFT / KEY_RIGHT / false,"[{""description"": ""A"", ""data"": ""KEY_A""}, {""description"": ""B"", ""data"": ""KEY_B""}, {""description"": ""C"", ""data"": ""KEY_C""}, {""description"": ""D"", ""data"": ""KEY_D""}, {""description"": ""E"", ""data"": ""KEY_E""}, {""description"": ""F"", ""data"": ""KEY_F""}, {""description"": ""G"", ""data"": ""KEY_G""}, {""description"": ""H"", ""data"": ""KEY_H""}, {""description"": ""I"", ""data"": ""KEY_I""}, {""description"": ""J"", ""data"": ""KEY_J""}, {""description"": ""K"", ""data"": ""KEY_K""}, {""description"": ""L"", ""data"": ""KEY_L""}, {""description"": ""M"", ""data"": ""KEY_M""}, {""description"": ""N"", ""data"": ""KEY_N""}, {""description"": ""O"", ""data"": ""KEY_O""}, {""description"": ""P"", ""data"": ""KEY_P""}, {""description"": ""Q"", ""data"": ""KEY_Q""}, {""description"": ""R"", ""data"": ""KEY_R""}, {""description"": ""S"", ""data"": ""KEY_S""}, {""description"": ""T"", ""data"": ""KEY_T""}, {""description"": ""U"", ""data"": ""KEY_U""}, {""description"": ""V"", ""data"": ""KEY_V""}, {""description"": ""W"", ""data"": ""KEY_W""}, {""description"": ""X"", ""data"": ""KEY_X""}, {""description"": ""Y"", ""data"": ""KEY_Y""}, {""description"": ""Z"", ""data"": ""KEY_Z""}, {""description"": ""F1"", ""data"": ""KEY_F1""}, {""description"": ""F2"", ""data"": ""KEY_F2""}, {""description"": ""F3"", ""data"": ""KEY_F3""}, {""description"": ""F4"", ""data"": ""KEY_F4""}, {""description"": ""F5"", ""data"": ""KEY_F5""}, {""description"": ""F6"", ""data"": ""KEY_F6""}, {""description"": ""F7"", ""data"": ""KEY_F7""}, {""description"": ""F8"", ""data"": ""KEY_F8""}, {""description"": ""F9"", ""data"": ""KEY_F9""}, {""description"": ""F10"", ""data"": ""KEY_F10""}, {""description"": ""F11"", ""data"": ""KEY_F11""}, {""description"": ""F12"", ""data"": ""KEY_F12""}, {""description"": ""LAlt"", ""data"": ""KEY_LALT""}, {""description"": ""RAlt"", ""data"": ""KEY_RALT""}, {""description"": ""LCtrl"", ""data"": ""KEY_LCTRL""}, {""description"": ""RCtrl"", ""data"": ""KEY_RCTRL""}, {""description"": ""LShift"", ""data"": ""KEY_LSHIFT""}, {""description"": ""RShift"", ""data"": ""KEY_RSHIFT""}, {""description"": ""Tab"", ""data"": ""KEY_TAB""}, {""description"": ""Capslock"", ""data"": ""KEY_CAPSLOCK""}, {""description"": ""Space"", ""data"": ""KEY_SPACE""}, {""description"": ""Minus"", ""data"": ""KEY_MINUS""}, {""description"": ""Equals"", ""data"": ""KEY_EQUALS""}, {""description"": ""Backspace"", ""data"": ""KEY_BACKSPACE""}, {""description"": ""Insert"", ""data"": ""KEY_INSERT""}, {""description"": ""Home"", ""data"": ""KEY_HOME""}, {""description"": ""Delete"", ""data"": ""KEY_DELETE""}, {""description"": ""End"", ""data"": ""KEY_END""}, {""description"": ""Pageup"", ""data"": ""KEY_PAGEUP""}, {""description"": ""Pagedown"", ""data"": ""KEY_PAGEDOWN""}, {""description"": ""Print"", ""data"": ""KEY_PRINT""}, {""description"": ""Scrollock"", ""data"": ""KEY_SCROLLOCK""}, {""description"": ""Pause"", ""data"": ""KEY_PAUSE""}, {""description"": ""Period"", ""data"": ""KEY_PERIOD""}, {""description"": ""Slash"", ""data"": ""KEY_SLASH""}, {""description"": ""Semicolon"", ""data"": ""KEY_SEMICOLON""}, {""description"": ""Leftbracket"", ""data"": ""KEY_LEFTBRACKET""}, {""description"": ""Rightbracket"", ""data"": ""KEY_RIGHTBRACKET""}, {""description"": ""Backslash"", ""data"": ""KEY_BACKSLASH""}, {""description"": ""Up"", ""data"": ""KEY_UP""}, {""description"": ""Down"", ""data"": ""KEY_DOWN""}, {""description"": ""Left"", ""data"": ""KEY_LEFT""}, {""description"": ""Right"", ""data"": ""KEY_RIGHT""}, {""description"": ""Disabled"", ""data"": false}]",—,—,客户端,✅,❌,仅有有限区域布点和固定蛇形，无独立网格层、陷阱间距、强制网格或双蛇形配置。,网格/间距按需；双蛇形可暂缓,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[turf_grid_key](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:107)
ActionQueue RB3,turf_grid_radius,地皮网格半径,5,1 / 2 / 3 / 4 / 5 / 6 / 7 / 8 / 9 / 10 / 11 / 12 / 13 / 14 / 15 / 16 / 17 / 18 / 19 / 20 / 21 / 22 / 23 / 24 / 25 / 26 / 27 / 28 / 29 / 30 / 31 / 32 / 33 / 34 / 35 / 36 / 37 / 38 / 39 / 40 / 41 / 42 / 43 / 44 / 45 / 46 / 47 / 48 / 49 / 50,"[{""description"": ""1"", ""data"": 1}, {""description"": ""2"", ""data"": 2}, {""description"": ""3"", ""data"": 3}, {""description"": ""4"", ""data"": 4}, {""description"": ""5"", ""data"": 5}, {""description"": ""6"", ""data"": 6}, {""description"": ""7"", ""data"": 7}, {""description"": ""8"", ""data"": 8}, {""description"": ""9"", ""data"": 9}, {""description"": ""10"", ""data"": 10}, {""description"": ""11"", ""data"": 11}, {""description"": ""12"", ""data"": 12}, {""description"": ""13"", ""data"": 13}, {""description"": ""14"", ""data"": 14}, {""description"": ""15"", ""data"": 15}, {""description"": ""16"", ""data"": 16}, {""description"": ""17"", ""data"": 17}, {""description"": ""18"", ""data"": 18}, {""description"": ""19"", ""data"": 19}, {""description"": ""20"", ""data"": 20}, {""description"": ""21"", ""data"": 21}, {""description"": ""22"", ""data"": 22}, {""description"": ""23"", ""data"": 23}, {""description"": ""24"", ""data"": 24}, {""description"": ""25"", ""data"": 25}, {""description"": ""26"", ""data"": 26}, {""description"": ""27"", ""data"": 27}, {""description"": ""28"", ""data"": 28}, {""description"": ""29"", ""data"": 29}, {""description"": ""30"", ""data"": 30}, {""description"": ""31"", ""data"": 31}, {""description"": ""32"", ""data"": 32}, {""description"": ""33"", ""data"": 33}, {""description"": ""34"", ""data"": 34}, {""description"": ""35"", ""data"": 35}, {""description"": ""36"", ""data"": 36}, {""description"": ""37"", ""data"": 37}, {""description"": ""38"", ""data"": 38}, {""description"": ""39"", ""data"": 39}, {""description"": ""40"", ""data"": 40}, {""description"": ""41"", ""data"": 41}, {""description"": ""42"", ""data"": 42}, {""description"": ""43"", ""data"": 43}, {""description"": ""44"", ""data"": 44}, {""description"": ""45"", ""data"": 45}, {""description"": ""46"", ""data"": 46}, {""description"": ""47"", ""data"": 47}, {""description"": ""48"", ""data"": 48}, {""description"": ""49"", ""data"": 49}, {""description"": ""50"", ""data"": 50}]",—,—,客户端,✅,❌,仅有有限区域布点和固定蛇形，无独立网格层、陷阱间距、强制网格或双蛇形配置。,网格/间距按需；双蛇形可暂缓,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[turf_grid_radius](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:108)
ActionQueue RB3,turf_grid_color,地皮网格颜色,WHITE,WHITE / FIREBRICK / TAN / LIGHTGOLD / GREEN / TEAL / OTHERBLUE / DARKPLUM / ROSYBROWN / GOLDENROD,"[{""description"": ""白色"", ""data"": ""WHITE""}, {""description"": ""红色"", ""data"": ""FIREBRICK""}, {""description"": ""橙色"", ""data"": ""TAN""}, {""description"": ""黄色"", ""data"": ""LIGHTGOLD""}, {""description"": ""绿色"", ""data"": ""GREEN""}, {""description"": ""青色"", ""data"": ""TEAL""}, {""description"": ""蓝色"", ""data"": ""OTHERBLUE""}, {""description"": ""紫色"", ""data"": ""DARKPLUM""}, {""description"": ""粉色"", ""data"": ""ROSYBROWN""}, {""description"": ""金色"", ""data"": ""GOLDENROD""}]",—,—,客户端,✅,❌,选择框/预览使用固定样式。,颜色和透明度按可读性需要补,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[turf_grid_color](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:109)
ActionQueue RB3,deploy_on_grid,只在网格上部署,false,true / false,"[{""description"": ""Yes"", ""data"": true}, {""description"": ""No"", ""data"": false}]",—,—,客户端,✅,❌,仅有有限区域布点和固定蛇形，无独立网格层、陷阱间距、强制网格或双蛇形配置。,网格/间距按需；双蛇形可暂缓,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[deploy_on_grid](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:110)
ActionQueue RB3,auto_collect_key,自动拾取键,KEY_F4,KEY_A / KEY_B / KEY_C / KEY_D / KEY_E / KEY_F / KEY_G / KEY_H / KEY_I / KEY_J / KEY_K / KEY_L / KEY_M / KEY_N / KEY_O / KEY_P / KEY_Q / KEY_R / KEY_S / KEY_T / KEY_U / KEY_V / KEY_W / KEY_X / KEY_Y / KEY_Z / KEY_F1 / KEY_F2 / KEY_F3 / KEY_F4 / KEY_F5 / KEY_F6 / KEY_F7 / KEY_F8 / KEY_F9 / KEY_F10 / KEY_F11 / KEY_F12 / KEY_LALT / KEY_RALT / KEY_LCTRL / KEY_RCTRL / KEY_LSHIFT / KEY_RSHIFT / KEY_TAB / KEY_CAPSLOCK / KEY_SPACE / KEY_MINUS / KEY_EQUALS / KEY_BACKSPACE / KEY_INSERT / KEY_HOME / KEY_DELETE / KEY_END / KEY_PAGEUP / KEY_PAGEDOWN / KEY_PRINT / KEY_SCROLLOCK / KEY_PAUSE / KEY_PERIOD / KEY_SLASH / KEY_SEMICOLON / KEY_LEFTBRACKET / KEY_RIGHTBRACKET / KEY_BACKSLASH / KEY_UP / KEY_DOWN / KEY_LEFT / KEY_RIGHT / false,"[{""description"": ""A"", ""data"": ""KEY_A""}, {""description"": ""B"", ""data"": ""KEY_B""}, {""description"": ""C"", ""data"": ""KEY_C""}, {""description"": ""D"", ""data"": ""KEY_D""}, {""description"": ""E"", ""data"": ""KEY_E""}, {""description"": ""F"", ""data"": ""KEY_F""}, {""description"": ""G"", ""data"": ""KEY_G""}, {""description"": ""H"", ""data"": ""KEY_H""}, {""description"": ""I"", ""data"": ""KEY_I""}, {""description"": ""J"", ""data"": ""KEY_J""}, {""description"": ""K"", ""data"": ""KEY_K""}, {""description"": ""L"", ""data"": ""KEY_L""}, {""description"": ""M"", ""data"": ""KEY_M""}, {""description"": ""N"", ""data"": ""KEY_N""}, {""description"": ""O"", ""data"": ""KEY_O""}, {""description"": ""P"", ""data"": ""KEY_P""}, {""description"": ""Q"", ""data"": ""KEY_Q""}, {""description"": ""R"", ""data"": ""KEY_R""}, {""description"": ""S"", ""data"": ""KEY_S""}, {""description"": ""T"", ""data"": ""KEY_T""}, {""description"": ""U"", ""data"": ""KEY_U""}, {""description"": ""V"", ""data"": ""KEY_V""}, {""description"": ""W"", ""data"": ""KEY_W""}, {""description"": ""X"", ""data"": ""KEY_X""}, {""description"": ""Y"", ""data"": ""KEY_Y""}, {""description"": ""Z"", ""data"": ""KEY_Z""}, {""description"": ""F1"", ""data"": ""KEY_F1""}, {""description"": ""F2"", ""data"": ""KEY_F2""}, {""description"": ""F3"", ""data"": ""KEY_F3""}, {""description"": ""F4"", ""data"": ""KEY_F4""}, {""description"": ""F5"", ""data"": ""KEY_F5""}, {""description"": ""F6"", ""data"": ""KEY_F6""}, {""description"": ""F7"", ""data"": ""KEY_F7""}, {""description"": ""F8"", ""data"": ""KEY_F8""}, {""description"": ""F9"", ""data"": ""KEY_F9""}, {""description"": ""F10"", ""data"": ""KEY_F10""}, {""description"": ""F11"", ""data"": ""KEY_F11""}, {""description"": ""F12"", ""data"": ""KEY_F12""}, {""description"": ""LAlt"", ""data"": ""KEY_LALT""}, {""description"": ""RAlt"", ""data"": ""KEY_RALT""}, {""description"": ""LCtrl"", ""data"": ""KEY_LCTRL""}, {""description"": ""RCtrl"", ""data"": ""KEY_RCTRL""}, {""description"": ""LShift"", ""data"": ""KEY_LSHIFT""}, {""description"": ""RShift"", ""data"": ""KEY_RSHIFT""}, {""description"": ""Tab"", ""data"": ""KEY_TAB""}, {""description"": ""Capslock"", ""data"": ""KEY_CAPSLOCK""}, {""description"": ""Space"", ""data"": ""KEY_SPACE""}, {""description"": ""Minus"", ""data"": ""KEY_MINUS""}, {""description"": ""Equals"", ""data"": ""KEY_EQUALS""}, {""description"": ""Backspace"", ""data"": ""KEY_BACKSPACE""}, {""description"": ""Insert"", ""data"": ""KEY_INSERT""}, {""description"": ""Home"", ""data"": ""KEY_HOME""}, {""description"": ""Delete"", ""data"": ""KEY_DELETE""}, {""description"": ""End"", ""data"": ""KEY_END""}, {""description"": ""Pageup"", ""data"": ""KEY_PAGEUP""}, {""description"": ""Pagedown"", ""data"": ""KEY_PAGEDOWN""}, {""description"": ""Print"", ""data"": ""KEY_PRINT""}, {""description"": ""Scrollock"", ""data"": ""KEY_SCROLLOCK""}, {""description"": ""Pause"", ""data"": ""KEY_PAUSE""}, {""description"": ""Period"", ""data"": ""KEY_PERIOD""}, {""description"": ""Slash"", ""data"": ""KEY_SLASH""}, {""description"": ""Semicolon"", ""data"": ""KEY_SEMICOLON""}, {""description"": ""Leftbracket"", ""data"": ""KEY_LEFTBRACKET""}, {""description"": ""Rightbracket"", ""data"": ""KEY_RIGHTBRACKET""}, {""description"": ""Backslash"", ""data"": ""KEY_BACKSLASH""}, {""description"": ""Up"", ""data"": ""KEY_UP""}, {""description"": ""Down"", ""data"": ""KEY_DOWN""}, {""description"": ""Left"", ""data"": ""KEY_LEFT""}, {""description"": ""Right"", ""data"": ""KEY_RIGHT""}, {""description"": ""Disabled"", ""data"": false}]",—,—,客户端,✅,❌,世界新掉落自动入包与工作后主动走过去收集是不同流程。,应补任务范围内工作后收集,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[auto_collect_key](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:111)
ActionQueue RB3,auto_collect,默认启用自动拾取,false,true / false,"[{""description"": ""Yes"", ""data"": true}, {""description"": ""No"", ""data"": false}]",—,—,客户端,✅,❌,世界新掉落自动入包与工作后主动走过去收集是不同流程。,应补任务范围内工作后收集,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[auto_collect](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:112)
ActionQueue RB3,endless_deploy_key,无尽部署切换键,KEY_F5,KEY_A / KEY_B / KEY_C / KEY_D / KEY_E / KEY_F / KEY_G / KEY_H / KEY_I / KEY_J / KEY_K / KEY_L / KEY_M / KEY_N / KEY_O / KEY_P / KEY_Q / KEY_R / KEY_S / KEY_T / KEY_U / KEY_V / KEY_W / KEY_X / KEY_Y / KEY_Z / KEY_F1 / KEY_F2 / KEY_F3 / KEY_F4 / KEY_F5 / KEY_F6 / KEY_F7 / KEY_F8 / KEY_F9 / KEY_F10 / KEY_F11 / KEY_F12 / KEY_LALT / KEY_RALT / KEY_LCTRL / KEY_RCTRL / KEY_LSHIFT / KEY_RSHIFT / KEY_TAB / KEY_CAPSLOCK / KEY_SPACE / KEY_MINUS / KEY_EQUALS / KEY_BACKSPACE / KEY_INSERT / KEY_HOME / KEY_DELETE / KEY_END / KEY_PAGEUP / KEY_PAGEDOWN / KEY_PRINT / KEY_SCROLLOCK / KEY_PAUSE / KEY_PERIOD / KEY_SLASH / KEY_SEMICOLON / KEY_LEFTBRACKET / KEY_RIGHTBRACKET / KEY_BACKSLASH / KEY_UP / KEY_DOWN / KEY_LEFT / KEY_RIGHT / false,"[{""description"": ""A"", ""data"": ""KEY_A""}, {""description"": ""B"", ""data"": ""KEY_B""}, {""description"": ""C"", ""data"": ""KEY_C""}, {""description"": ""D"", ""data"": ""KEY_D""}, {""description"": ""E"", ""data"": ""KEY_E""}, {""description"": ""F"", ""data"": ""KEY_F""}, {""description"": ""G"", ""data"": ""KEY_G""}, {""description"": ""H"", ""data"": ""KEY_H""}, {""description"": ""I"", ""data"": ""KEY_I""}, {""description"": ""J"", ""data"": ""KEY_J""}, {""description"": ""K"", ""data"": ""KEY_K""}, {""description"": ""L"", ""data"": ""KEY_L""}, {""description"": ""M"", ""data"": ""KEY_M""}, {""description"": ""N"", ""data"": ""KEY_N""}, {""description"": ""O"", ""data"": ""KEY_O""}, {""description"": ""P"", ""data"": ""KEY_P""}, {""description"": ""Q"", ""data"": ""KEY_Q""}, {""description"": ""R"", ""data"": ""KEY_R""}, {""description"": ""S"", ""data"": ""KEY_S""}, {""description"": ""T"", ""data"": ""KEY_T""}, {""description"": ""U"", ""data"": ""KEY_U""}, {""description"": ""V"", ""data"": ""KEY_V""}, {""description"": ""W"", ""data"": ""KEY_W""}, {""description"": ""X"", ""data"": ""KEY_X""}, {""description"": ""Y"", ""data"": ""KEY_Y""}, {""description"": ""Z"", ""data"": ""KEY_Z""}, {""description"": ""F1"", ""data"": ""KEY_F1""}, {""description"": ""F2"", ""data"": ""KEY_F2""}, {""description"": ""F3"", ""data"": ""KEY_F3""}, {""description"": ""F4"", ""data"": ""KEY_F4""}, {""description"": ""F5"", ""data"": ""KEY_F5""}, {""description"": ""F6"", ""data"": ""KEY_F6""}, {""description"": ""F7"", ""data"": ""KEY_F7""}, {""description"": ""F8"", ""data"": ""KEY_F8""}, {""description"": ""F9"", ""data"": ""KEY_F9""}, {""description"": ""F10"", ""data"": ""KEY_F10""}, {""description"": ""F11"", ""data"": ""KEY_F11""}, {""description"": ""F12"", ""data"": ""KEY_F12""}, {""description"": ""LAlt"", ""data"": ""KEY_LALT""}, {""description"": ""RAlt"", ""data"": ""KEY_RALT""}, {""description"": ""LCtrl"", ""data"": ""KEY_LCTRL""}, {""description"": ""RCtrl"", ""data"": ""KEY_RCTRL""}, {""description"": ""LShift"", ""data"": ""KEY_LSHIFT""}, {""description"": ""RShift"", ""data"": ""KEY_RSHIFT""}, {""description"": ""Tab"", ""data"": ""KEY_TAB""}, {""description"": ""Capslock"", ""data"": ""KEY_CAPSLOCK""}, {""description"": ""Space"", ""data"": ""KEY_SPACE""}, {""description"": ""Minus"", ""data"": ""KEY_MINUS""}, {""description"": ""Equals"", ""data"": ""KEY_EQUALS""}, {""description"": ""Backspace"", ""data"": ""KEY_BACKSPACE""}, {""description"": ""Insert"", ""data"": ""KEY_INSERT""}, {""description"": ""Home"", ""data"": ""KEY_HOME""}, {""description"": ""Delete"", ""data"": ""KEY_DELETE""}, {""description"": ""End"", ""data"": ""KEY_END""}, {""description"": ""Pageup"", ""data"": ""KEY_PAGEUP""}, {""description"": ""Pagedown"", ""data"": ""KEY_PAGEDOWN""}, {""description"": ""Print"", ""data"": ""KEY_PRINT""}, {""description"": ""Scrollock"", ""data"": ""KEY_SCROLLOCK""}, {""description"": ""Pause"", ""data"": ""KEY_PAUSE""}, {""description"": ""Period"", ""data"": ""KEY_PERIOD""}, {""description"": ""Slash"", ""data"": ""KEY_SLASH""}, {""description"": ""Semicolon"", ""data"": ""KEY_SEMICOLON""}, {""description"": ""Leftbracket"", ""data"": ""KEY_LEFTBRACKET""}, {""description"": ""Rightbracket"", ""data"": ""KEY_RIGHTBRACKET""}, {""description"": ""Backslash"", ""data"": ""KEY_BACKSLASH""}, {""description"": ""Up"", ""data"": ""KEY_UP""}, {""description"": ""Down"", ""data"": ""KEY_DOWN""}, {""description"": ""Left"", ""data"": ""KEY_LEFT""}, {""description"": ""Right"", ""data"": ""KEY_RIGHT""}, {""description"": ""Disabled"", ""data"": false}]",—,—,客户端,✅,❌,只允许选定区域内最多 200 项，不提供无尽部署。,可忽略无尽模式,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[endless_deploy_key](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:113)
ActionQueue RB3,endless_deploy,默认无尽部署,false,true / false,"[{""description"": ""Yes"", ""data"": true}, {""description"": ""No"", ""data"": false}]",—,—,客户端,✅,❌,只允许选定区域内最多 200 项，不提供无尽部署。,可忽略无尽模式,/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua,[endless_deploy](/home/ubuntu/Steam/steamapps/workshop/content/322330/2873533916/modinfo.lua:114)
